speaker,line
SHIRAZ,God is the greatest.
SHIRAZ,God hears the one who praises him.
SHIRAZ,God is the greatest.
SHIRAZ,God is the greatest.
SHIRAZ,God is the greatest.
SHIRAZ,God is the greatest.
SHIRAZ,Peace and mercy of Allah be on you.
SHIRAZ,"Peace and mercy of Allah be on you. Having finished his act of worship he carefully folds up his prayer mat. He enters the kitchen and opens the refrigerator, taking out a glass jar of jam. He opens the jar and hastily spreads some jam on some white bread to make a sandwich."
SHIRAZ,"By the name of God. He takes a bite of the sandwich and a drink from a glass of milk. Another bite of the sandwich. He looks determined,"
RADIO,"... you can crawl back home, say you were wrong..."
RADIO,"... stand out in the yard... The somewhat-intimidating white male driver is staring through the window straight at SHIRAZ. Two giggly girls, shaking an almost-empty can of beer, lean forwards and look into SHIRAZ's car."
WOMAN 1,Oh! Looks like we got a visitor.
WOMAN 2,"A little brownie. The revving continues. SHIRAZ puts his windows up and stares forwards, not making eye contact."
MAN,Are we in the wrong country then?
WOMAN 1,"All right, all right. The engine revving continues until the lights change and the pickup slowly drives off. SHIRAZ sits motionless in his car. Later. SHIRAZ is slowly driving past a run of motel. He watches his rearview mirror carefully. He pulls into one of the motels. A young male is standing in front of a parking space and SHIRAZ parks up and turns off the engine. He gets out."
SHIRAZ,May peace be upon you.
YOUNG MUSLIM,"May peace be upon you also. They shake hands and embrace. The YOUNG MUSLIM puts an arm around SHIRAZ's shoulder and they walk over to the motel. Later. They are both in the car, driving through town. They don't talk. They look resigned. Arabic music is playing. They pull up across the street from a modern looking art gallery called Ziggurat. They clasp hands."
TOGETHER,"Open my chest, Allah, ease my task, remove impediment from my speech. They unbuckle their seatbelts and get out of the car. They cross the road and head over to the gallery, the other male again putting his arm around SHIRAZ to reassure him. People are milling around. A car pulls up outside the gallery and the driver gets out, giving his keys to a valet whilst his wife waits for him. The car drives away and they walk up to the gallery, his arm around her. Suddenly. BOOM! A huge explosion from inside the art gallery fills the road with debris, glass, dust and thick black smoke. A handful of survivors from inside the gallery make it out onto the street, fully aflame and screaming. Others who were in the street and were knocked over by the blast try to crawl away. A scene of total devastation. THE TRUTH IS OUT THERE"
SCULLY,"What am I hearing, Mulder?"
MULDER,"According to eyewitnesses - or ""earwitnesses"" as it were - it sounded like trumpets playing."
SCULLY,From nowhere in particular?
MULDER,"No apparent source. Music as if from the heavens themselves. As if God himself was making music, blowing his own horn."
SCULLY,"Since when do you believe in God, Mulder?"
MULDER,What makes you think I do?
SCULLY,God himself?
MULDER,"I speak merely as an investigator. Reports from Belarus to Canada, France, Italy, Germany, the Ukraine..."
SCULLY,"But as an investigator, you seem to give this phenomenon credibility."
MULDER,"It's not important what I believe, Scully. It's important what they believe. The earwitnesses."
SCULLY,And what do they believe?
MULDER,"""And I saw the seven angels that stood before God, and to them were given seven trumpets."" Revelations 8:2. A herald of end times."
SCULLY,"You know that prophecies like this have been going on for centuries. Failed prognostications of doom, failed prophecy, even in the Bible."
MULDER,"Yeah, God told Adam that if he ate the forbidden fruit he'd die, and he lived 930 years. Top that."
SCULLY,"You know that didn't literally happen, right?"
MULDER,I'm just sayin'. It's your book. Suddenly there is a knock on the door.
MAN,MAN: Hello? Anyone down here?
SCULLY,Nobody but the FBI's Most Unwanted. I've been waiting twenty-three years to say that.
MULDER,How'd it feel?
SCULLY,Pretty good.
MULDER,"Yeah? It's open. Come on in. Two young FBI Agents enter the office and stand just inside the doorway. He about the same height and coloration as MULDER, she about the same height and colouration of SCULLY. And probably about twenty-three years younger."
MALE AGENT,Special Agent Fox Mulder?
MULDER,Speaking. They shake hands.
MULDER,And to whom am I speaking?
MILLER,I'm Special Agent Miller. This is Special Agent Einstein. MULDER shakes EINSTEIN's hand.
SCULLY,You're Special Agent Einstein?
EINSTEIN,"I claim a distant relation, if that's what you're referring to."
MULDER,For-forgive Agent Scully's impertinence. She wrote her dissertation on Einstein's Twin Paradox.
EINSTEIN,"Excuse me, but I was definitely told you were a medical doctor."
SCULLY,I am. But I'm also a scientist.
EINSTEIN,Because I'm a medical doctor.
MULDER,Oh.
SCULLY,"And you're a profiler, obsessed with the paranormal?"
MILLER,"That's why we're here, actually."
EINSTEIN,When we should be at the airport.
MILLER,You both heard about the terrorist bombing of an art gallery in Texas.
MULDER,Yes. Two young Muslim men protesting the depiction of Mohammed.
SCULLY,Wearing suicide bomber vests.
EINSTEIN,"Can we get to the business section, please?"
MILLER,"Nine people killed in the act, but one of the bombers survived. MILLER hands MULDER a tablet computer showing the heavily scarred, stitched and sedated upper body of one of the bombers, lying comatose on a hospital bed."
EINSTEIN,"Technically. Medically, he's in a persistent vegetative state. He's dead except for a heartbeat. MULDER hands SCULLY the tablet."
MILLER,You must imagine why we're here.
MULDER,There have been so-called practitioners...
SCULLY,"I'm sorry. Forgive me, but I can't imagine why you're here."
EINSTEIN,That would make two of us. SCULLY makes a face at new soulmate EINSTEIN.
MULDER,"Agent Miller, a man with a mind obviously open to possibility would like to communicate with the dead, or the near-dead, as the case may be."
MILLER,I believe he may have intel on a larger sleeper cell with an aim to commit more acts of terror.
EINSTEIN,"Which is where our energy would be better spent, trying to stop live terrorists, rather than stopping to try to speak with dead ones."
SCULLY,I have to say I agree.
MULDER,"There have been noted divinators, oracles, fakirs, necromancers who have claimed the ability..."
MILLER,"Madame Blavatsky, founder of Theosophism, brought to America a so-called Ancient Wisdom gained from Tibetan spiritual adepts."
SCULLY,"Maybe I've been part of the X-Files too long, but I happen to know that Madame Blavatsky's dead."
EINSTEIN,Huh.
MULDER,Which would make it that much harder to glean her far-flung abilities.
EINSTEIN,Yeah. That's what I thought. Miller? EINSTEIN taps MILLER and starts to head out of the door.
MILLER,You know of no such practitioner working now whom we might consult?
EINSTEIN,None that I'd waste your time on. EINSTEIN looks at her watch.
EINSTEIN,"Miller, come on. There's a 1:30 flight to Texas, and I want to be on it."
MILLER,Thank you for your time. He hands MULDER his contact card.
MILLER,"Uh, please call me when you think of something. SCULLY smiles over to EINSTEIN, who gives her a quick wave goodbye in return before she and MILLER head off down the corridor."
MULDER,He seemed like a bright young man. MULDER hands the card to SCULLY to inspect.
SCULLY,"She calls him ""Miller"". MULDER smiles. SCULLY hands MILLER's card back to MULDER."
SCULLY,Hmmm.
MAN,Using artwork to desecrate the prophet of someone else's religion just incites fanatical terrorists.
WOMAN,It's just a painting.
MAN,Yeah. Of Mohammed sitting on a toilet defecating radical Islamists!
WOMAN,Do you know how absurd this all is? It's just absurd!
MAN,It's not absurd to the victims of this action and their families... MILLER pulls out the tablet and looks at the photo of the bomber.
MILLER,"Wearing that vest, those last few steps, knowing you're gonna die, must be so strange."
EINSTEIN,How 'bout the victims? Imagine not knowing. That's even worse.
MILLER,Where does all the hate come from? He's just a kid. A kid needs to be taught this hate. You wonder who got in his head.
EINSTEIN,"Well, he's not gonna tell you, Miller. And neither is any necromancer."
MILLER,"Well, wasn't it at least worth a try? She scoffs."
EINSTEIN,You think anyone takes the X-Files seriously? That's why they got them stuck down in that basement office. I pity that poor Agent Scully.
MILLER,That's like my dream assignment.
EINSTEIN,No self-respecting scientist would spend a career toiling away in obscure realms of science fiction.
MILLER,Why else would she do it?
