speaker,line,words
WILLIAM SCULLY,Are you going to leave this up all year?,9
SCULLY,"Yup. All year. Since you always made us take the Christmas tree down the day after Christmas, I'm making up for lost time.",23
WILLIAM SCULLY,"If your idea of a good time is picking up dried pine needles, treat yourself.",15
MARGARET SCULLY,As if he's an authority on having a good time.,10
SCULLY,"That's okay, Mom, I got that.",6
MARGARET SCULLY,"Oh, okay.",2
WILLIAM SCULLY,"Okay, Maggie, let's shove off.",5
MARGARET SCULLY,"Oh, okay. Well, thank you for having us. Dinner was delicious as usual.",13
SCULLY,"Thanks, Mom. Good sailing, Ahab.",5
WILLIAM SCULLY,"Goodnight, Starbuck. How's work? Good?",5
SCULLY,Yup. It's good.,3
WILLIAM SCULLY,Well...,1
SCULLY,"Well, drive carefully.",3
MARGARET SCULLY,Uh-huh.,1
SCULLY,"Goodnight, Daddy.",2
RON POPEIL ON TV,"Here on Incredible Inventions though, you're not going to spend 110 dollars for it. You all know that. You're not even going to spend a hundred dollars. "" Approximate One Month Supply Time May Vary Depending On Frequency of Use or Size of Area to be Covered"") There's an approximate one-month supply here... And all you'll spend for this entire package is just 39 dollars and 92 cents.",67
WOMAN ON TV,Mr. Johnson?,2
RON POPEIL ON TV,Yes?,1
WOMAN ON TV,I was kind of interested that Allen used a blond and I hadn't seen anyone use a blond.,18
SCULLY,Dad? I thought you guys left. Where's Mom? Hello. Hello?,10
MARGARET SCULLY,Dana?,1
SCULLY,Mom? What's the matter?,4
MARGARET SCULLY,"We, um... we lost your dad. He had a... a massive coronary... about an hour ago. He... he's gone.",19
GIRL,"I swear, Christmas Day... my whole family's opening presents and all and I'm just sitting there in my own little world, thinking ""I just wish Jim were here.""",28
BOY,"Hmmm, I know. Oh man, busted. Yes, sir?",8
HENRY,"Out of the vehicle, please.",5
BOY,"We're sorry, sir. We'll be on our way.",8
HENRY,"I said, out of the vehicle Keep your hands down. Let's see some ID.",14
BOY,"No, not till I see yours.",6
SCULLY,"Last time you were that engrossed, it turned out you were reading the Adult Video News.",16
MULDER,"I didn't think you'd be in today. How are you, Dana?",11
SCULLY,"""Dana."" I'm fine, thank you. What are you working on?",10
MULDER,"Two days ago, a couple was kidnapped at Jackson University. Elizabeth Hawley and James Summers, both 19. Last year, another couple was kidnapped to the day except that abduction occured at Duke University. One week later, they found both students' bodies dead.",42
SCULLY,"They were kept alive, tortured through that period.",8
MULDER,"No arrests were ever made. Police believed it to be a one-time offender but now it appears to be a serial incident. Anyway, if he holds true to form, we have five days to find those kids.",37
SCULLY,That's a grim deadline.,4
MULDER,"Well, here's another grim deadline. In one week, Luther Lee Boggs will take a seat in the North Carolina gas chamber.",21
SCULLY,How is he related?,4
MULDER,He claims to have information relating to the kidnapping. He described Hawley's bracelet down to the last detail. This is information that only family members could have known.,28
SCULLY,Or the kidnapper.,3
MULDER,Boggs feels that if his talents help save these kids then his sentence should be reduced to life in prison.,20
SCULLY,His talents?,2
MULDER,He claims to have obtained this information through psychic transmission.,10
SCULLY,"Mulder, do I detect a hint of skepticism?",8
MULDER,"Perhaps. Boggs has been there before... in the chamber. My profile helped send him there. He was actually strapped to the chair before recieving an executive stay. He claims that this experience activated in him the ability to channel spirits and demons. I believe in psychic ability, without a doubt, but not in this case. Not Boggs.",57
SCULLY,So you believe that Boggs is orchestrating the kidnapping from the inside. A scam to save his life?,18
MULDER,"At the age of six, Luther Boggs slaughtered every pet animal in his housing project. When he was thirty, he strangled five family members over Thanksgiving dinner and then sat down to watch the fourth quarter of the Detroit - Green Bay game. Some killers are projects of society. Some act out past abuses. Boggs kills because he likes it.",59
SCULLY,And they've requested you speak with him?,7
MULDER,"Actually, he's requested to speak to me.",7
SCULLY,Why you?,2
MULDER,"He read my profile on him and he believes I'm the only one who truly understands what he is. Anyway, I leave for Raleigh this afternoon.",26
SCULLY,I'll go with you. The funeral's at noon.,8
MULDER,I think you should take some time.,7
SCULLY,I need to work.,4
MULDER,I'm sorry about your father. I'll see you later.,9
SCULLY,Okay.,1
SCULLY,"As a captain, he was entitled to burial at Arlington with full ceremony.",13
MARGARET SCULLY,This is exactly how he wanted it. Just the family. This song was playing when his ship returned from the Cuban Blockade. He marched right off up to me... and he proposed.,32
SCULLY,I know that you and Dad were... disappointed that I chose the path I'm on instead of medicine but I need to know... was he at all proud of me?,30
MARGARET SCULLY,He was your father.,4
BOGGS,The soul of Luther Boggs drowns in hell's sea of fire. We have him now.,15
MULDER,We? You mean the souls of your victims?,8
BOGGS,The dead. The living. All souls are connected.,8
MULDER,And you're the conduit?,4
BOGGS,"Uh... Dana... Fox... please understand that from here, we can return to the past. We can see the present. We can know the future.",24
