speaker,line
CAST OF CHARACTERS,The Simpsons DAN CASTELLANETA as Homer Simpson JULIE KAVNER as Marge Simpson NANCY CARTWRIGHT as Bart Simpson YEARDLEY SMITH as Lisa Simpson Maggie Simpson Grandpa Simpson Guest Stars GILLIAN ANDERSON as Dana Scully DAVID DUCHOVNY as Fox Mulder LEONARD NIMOY as Himself Primary Characters HARRY SHEARER as Mr Burns and the 'Alien' HARRY SHEARER as Smithers HANK AZARIA as Chief Wiggum Moe Kent Brockman Dr Nick Riviera Reverend Lovejoy Secondary Characters Barney Gumbel Ned Flanders Krusty the Klown Groundskeeper Willy Dr Julius Hibbert Milhouse Jimbo Jones Santa's Little Helper Blink-and-You'll Miss Them Alf Donkey Kong Marvin the Martian Chewbacca
NIMOY,"Hello, I'm Leonard Nimoy. The following tale of alien encounters is true. And by true, I mean false. It's all lies. But they're entertaining lies, and in the end, isn't that the real truth? The answer...is no. Our story begins on a Friday morning, in a little town called Springfield..."
HOMER,"T.G.I.F! Guys, I'm off to Moe's."
LENNY,"But Homer, it's ten in the morning!"
HOMER,"Don't worry, I have a plan. I saw this in a movie about a bus that had to speed around the city, keeping its speed over fifty. And if its speed dropped, it would explode. I think it was called... ""The Bus That Couldn't Slow Down."" First, I hook this common VCR into the security camera system like so, then I insert this old videotape of us working on a continuous loop."
BURNS,"So, another Friday is upon us. What will you be doing Smithers, something gay no doubt?"
SMITHERS,What? What?
BURNS,"You know, light-hearted, fancy-free, mothers lock up your daughters! Smithers is on the town! He he he!"
SMITHERS,"Ha ha ha! Exactly, sir. ha ha ha..."
OLD MAN,Thank God it's Wednesday.
WOMAN,It's Friday.
OLD MAN,"Uh oh, wrong pills. Uh, little help?"
(AT NOISELAND ARCADE,"""Friday meet Donkey Kong in person"", Donkey Kong is smoking and scratching himself, without an audience.)"
MAN,"Sorry Donkey Kong, but you're just not a draw anymore. Hey, he's still got it!"
MILHOUSE,"38, 39, 40 quarters. This better be good."
GAME,Game over. Please deposit 40 quarters.
MILHOUSE,What a rip!
DR HIBBERT,Thank God it's Friday! Hmm hmm hmm...
SENILE MAN,Hello? Hello?
MARGE,Bad dog! Bad cat! Bad Fawn! Hmmm...Shoo shoo!
LISA,All right! Time for ABC's T.G.I.F. line-up!
BART,"Lise, when you get a little older, you'll realise that Friday is just another day between NBC's Must-See Thursday and CBS's Saturday night Crap-o-Rama."
MOE,Another Duff Homer?
HOMER,"Nah, it's Friday night, Moe. I want to try something special."
MOE,"Sure, sure. Here you go, Düff. From Sweden, huh huh."
HOMER,"Goal! Wait a minute, this is Duff!"
MOE,"Heh heh, you got me didn't you? Okay, here you go, Red Tick Beer."
HOMER,"Cold, refreshing, and something I can't quite put my finger on."
TESTER,"Hmm, needs more dog."
HOMER,"Well, it's 1am. Better go home and spend some quality time with the kids."
MOE,"Just a second, Homer. You gotta take a breathalyser test before I let you drive home."
HOMER,Uh. I guess I'll walk home. Ohh.. Aargh! Arrrgh! Ahhh!
GRANDPA,"Oh, son I'm glad to see you. I went for the morning paper and I got lost."
HOMER,"No time for you, old man!"
HOMER,"Please, don't hurt me!"
ALIEN,Don't be afraid.
HOMER,Yahhh!
MARGE,"Homer, it's 2am. What happened?"
HOMER,"It was an alien, Marge! It appeared in front of me and said, 'Don't be afraid'!"
MARGE,Have you been drinking?
HOMER,"No! Well, ten beers."
MARGE,Hmmm.
HOMER,"I'm telling you, I saw a creature from another planet."
LISA,Maybe you just dreamed it.
HOMER,"Oh yeah? Well when I came to I was covered with a sticky, translucent goo. Explain that!"
MARGE,More sausage?
LISA,"Dad, according to Junior Sceptics Magazine, the chances are 175 million to one of another form of life actually coming into contact with ours."
HOMER,So?
LISA,It's just that the people who claim to have seen aliens are always pathetic lowlifes with boring jobs. Oh..and you.. dad. Ha ha.
BART,I am the thing...from Uranus!
HOMER,"Ahhh! Oh, it's Bart. I can't believe it. I'm being mocked, by my own children. On my birthday."
BART,It's your birthday?
HOMER,Yes. Remember? It's the same day as the dog's.
LISA,"Santa's Little Helper, it's your birthday? Ooh, we've got to get you a present. Yes we do. Yes we do!"
BART,We love you.
MARGE,Poor doggy. Poor doggy!
HOMER,Lousy loveable dog.
HOMER,"Oh, it was awful. They sat me on a cold, metal table and prodded me with humiliating probes. Oh, wait, that was my physical."
LENNY,"Nice going Homer, really."
HOMER,"The alien has a sweet heavenly voice, like Urkel. And he appears every Friday night, like Urkel."
WIGGUM,"Well your story is very compelling, Mr Jackass, I mean Simpson. So I'll just type it up on my invisible typewriter. Hmm hmm hmm..."
HOMER,You don't have to humiliate me.
ARSONIST,"I just torched a building downtown, and I'm afraid I'll do it again!"
WIGGUM,"Oh, yeah right. I'll just type it up on my invisible typewriter. Dum dum dum...fruitcake. FBI DIVISION OF PARANORMAL ACTIVITY WASHINGTON, D.C."
MULDER,Look at this Scully.
SCULLY,"Well, gee Mulder. There's also this report of a shipment of drugs and illegal weapons coming into New Jersey tonight."
MULDER,"I hardly think the FBI is concerned with matters like that. SIMPSON HOME SPRINGFIELD, USA"
MARGE,Hello. Can I help you?
MULDER,Agents Mulder and Scully. FBI.
MARGE,"Is this about that pen that I took from the post office? I swear, I didn't know I put it in my purse, then I was going to bring it back but the dog chewed it up, and that just made things worse."
SCULLY,"Actually, we're here to see your husband about his UFO encounter."
MARGE,"Oh, good. Come...come in. Branch. Invading Your Privacy For 60 Years)"
SCULLY,"Mr Simpson, look at this line-up and tell us if any of these is the aliens you saw."
ALF,Yo!
HOMER,"No, I'm sorry."
MARVIN,This makes me very angry!
SCULLY,"Now we're going to run a few tests. This is a simple liedetector. I'll ask you a few yes or no questions, and you just answer truthfully. Do you understand?"
HOMER,Yes!
HOMER,Ohh!
MULDER,"Wait a minute, Scully. What's the point of this test?"
SCULLY,No point. I just thought he could stand to lose a little weight.
MULDER,His jiggling is almost hypnotic.
SCULLY,Yes. It's like a lava lamp. MOE'S BAR TEMPERATURE 72 DEG C ALL WORK AND NO PLAY MAKES JACK A DULL BOY. ALL WORK AND NO PLAY MAKES JACK A DULL BOY. ALL WORK AND NO PLAY MAKES JACK A DULL BOY. ALL WORK AND NO PLAY MAKES JACK A DULL BOY. ALL WORK AND NO PLAY MAKES JACK A DULL BOY. ALL WORK AND NO PLAY MAKES JACK A DULL BOY. ALL WORK AND NO PLAY MAKES JACK A DULL BOY. ALL WORK AND NO PLAY MAKES JACK A DULL BOY. ALL WORK AND NO PLAY MAKES JACK A DULL BOY. ALL WORK AND NO PLAY MAKES JACK A DULL BOY. ALL WORK AND NO PLAY MAKES JACK A DULL BOY. ALL WORK AND NO PLAY MAKES JACK A DULL BOY. ALL WORK AND NO PLAY MAKES JACK A DULL BOY. ALL WORK AND NO PLAY MAKES JACK A DULL BOY. ALL WORK AND NO PLAY MAKES JACK A DULL BOY. ALL WORK AND NO PLAY MAKES JACK A DULL BOY.
MULDER,All right Homer. We want you to recreate your every move the night you saw this alien.
HOMER,"Well, the evening began at the Gentleman's club, where we were discussing Wittgenstein over a game of backgammon."
SCULLY,"Mr Simpson, it's a felony to lie to the FBI."
HOMER,We were sitting in Barney's car eating packets of mustard. You happy?
HOMER,"You are one fine looking woman, lady. If I wasn't married, I'd go out with you like that! I am so sorry. Whatever you do, don't tell Marge. God I love her! Hey, a penny!"
MOE,"So uh, so what are you guys anyhow?"
MULDER,"Agents Mulder and Scully, FBI."
MOE,"FBI, huh? Excuse me. All right, they're on to us. Get him back to Sea World."
HOMER,"So I said, blue M&M, red M&M, they all wind up the same colour in the end."
SCULLY,"Mr Simpson, why don't you show us where you went when you left the bar."
