speaker,line,words
BLAKE,"So, what do you think, man?",6
MICHAEL,What do I think about what?,6
BLAKE,"That's the Brady Bunch house. That's ""the"" house - where they shot ""The Brady Bunch.""",14
MICHAEL,"What are you on? Crack? Does that honestly look like ""The Brady Bunch"" house to you?",16
BLAKE,"From inside it does. Straight up, dude. I was there delivering a pizza last night, and the guy who lives there is all, like, tryin' to crowd the door so I can't see inside. But then... he drops his Crazy Bread and bends down... and *boom!* I see it all, man! ""The Brady Bunch"" house. I'll prove it.",58
MICHAEL,No! Wait!,2
MICHAEL,"What are you doing? Blake? It's midnight, man.",8
BLAKE,"My honour's at stake, man.",5
MICHAEL,"All right, nobody's home. Let's go. Come on.",8
BLAKE,It's not even locked.,4
MICHAEL,"You're trippin', dude.",3
BLAKE,Huh? See? I told you.,5
BLAKE,"This is exactly like the show. look at this! That weird horse sculpture and the vase that Peter broke. Mama always said, ""Don't play ball in the house."" You remember that one?.",32
MICHAEL,I don't understand this.,4
BLAKE,"Who's on crack now, huh?",5
MICHAEL,Hello?,1
BLAKE,"Remember the episode where Marcia broke her nose? She got hit with a football, right?",15
MICHAEL,"Screw this, man. I'm outta here.",6
BLAKE,"Daley, don't be a puss.",5
BLAKE,Daley?,1
BLAKE,H-Hello?,1
BLAKE,Bobby? Cindy?,2
BLAKE,Wait! Wait!,2
MICHAEL,"Come on, man! Come on!",5
MICHAEL,"Oh, my God...",3
DOGGETT,I'm tellin' ya.,3
REYES,No. I don't see how.,5
DOGGETT,"Well, how else do you explain it? A guy falls from a plane, or a... I don't know, maybe a helicopter. Out the door and then...... bam. Simple as that.",30
REYES,"And how, exactly, did he wind up in a helicopter, when supposedly he was busy breaking into someone's house at the time?",22
DOGGETT,Details.,1
REYES,What you got?.,3
DOGGETT,Maybe nothin'.,2
MICHAEL,You the people from the FBI?,6
REYES,Michael Daley?,2
MICHAEL,Yeah. Is someone finally gonna arrest that freak?,8
DOGGETT,"Well, how about you tell us what you witnessed, and then we'll go from there.",15
MICHAEL,"What I witnessed was Freaksville, man! My friend was murdered. Who would have thought this could happen at ""The Brady Bunch"" house.",22
REYES,"That's not ""The Brady Bunch"" house.",6
MICHAEL,"Yeah, it is. I mean, I know it doesn't look like it, but... but it is. That's where they shot the show.",22
REYES,"No, they shot the show on a soundstage in Hollywood. The house they used for the exteriors is a split-level in Studio City. I took a picture of it once.",30
MICHAEL,"I'm telling you, it's like some kind of creepy Brady Bunch museum in there. I told the cops to search the place, but they wouldn't listen to me. But whatever the hell happened to Blake, it happened right in there.",40
DOGGETT,Oliver Martin?,2
